group,value,n,precision,recall
Contract,Month-to-month,572,0.4988009592326139,0.8559670781893004
Contract,One year,229,0.3333333333333333,0.24242424242424243
Contract,Two year,256,0.0,0.0
InternetService,DSL,377,0.38636363636363635,0.6891891891891891
InternetService,Fiber optic,441,0.5306122448979592,0.8524590163934426
InternetService,No,239,0.3333333333333333,0.375
PaymentMethod,Electronic check,349,0.5657370517928287,0.8765432098765432
PaymentMethod,Mailed check,244,0.3225806451612903,0.6521739130434783
PaymentMethod,Bank transfer (automatic),232,0.4375,0.5833333333333334
PaymentMethod,Credit card (automatic),232,0.3770491803278688,0.6216216216216216
